STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,area,perimeter
"28","01779790",0400000US28,"28",MS,Mississippi,"00","121533519481","3926919758",11.885416620191336,24.609520117849971
"37","01027616",0400000US37,"37",NC,North Carolina,"00","125923656064","13466071395",12.782192015461533,41.263322357942641
"40","01102857",0400000US40,"40",OK,Oklahoma,"00","177662925723","3374587997",18.005001044048868,27.211111739870340
"51","01779803",0400000US51,"51",VA,Virginia,"00","102257717110","8528531774",10.685778693135035,33.614058573805501
"54","01779805",0400000US54,"54",WV,West Virginia,"00","62266474513","489028543",6.493879726226396,20.196983267409472
"22","01629543",0400000US22,"22",LA,Louisiana,"00","111897594374","23753621895",11.544208778885832,38.804575176512067
"26","01779789",0400000US26,"26",MI,Michigan,"00","146600952990","103885855702",17.054769819015291,58.099467288531514
"25","00606926",0400000US25,"25",MA,Massachusetts,"00","20205125364","7129925486",2.318547833600860,17.629731247091161
"16","01779783",0400000US16,"16",ID,Idaho,"00","214049787659","2391722557",24.456461002497690,30.788217757994413
"12","00294478",0400000US12,"12",FL,Florida,"00","138949136250","31361101223",13.934848389869444,43.649095662457256
"31","01779792",0400000US31,"31",NE,Nebraska,"00","198956658395","1371829134",21.614456008095203,24.194017676381282
"53","01779804",0400000US53,"53",WA,Washington,"00","172112588220","12559278850",20.899636055636620,47.961254358551990
"35","00897535",0400000US35,"35",NM,New Mexico,"00","314196306401","728776523",30.892917107085168,23.674525410430107
"46","01785534",0400000US46,"46",SD,South Dakota,"00","196346981786","3382720225",22.578331635141240,23.398782177073979
"48","01779801",0400000US48,"48",TX,Texas,"00","676653171537","19006305260",65.327670648708818,71.976592226096926
"06","01779778",0400000US06,"06",CA,California,"00","403503931312","20463871877",41.668273225704525,44.117752191657388
"01","01779775",0400000US01,"01",AL,Alabama,"00","131174048583","4593327154",12.891866492686859,18.985613862583179
"13","01705317",0400000US13,"13",GA,Georgia,"00","149482048342","4422936154",14.668461601127092,20.697519950490030
"42","01779798",0400000US42,"42",PA,Pennsylvania,"00","115884442321","3394589990",12.535837703217339,17.334145946307199
"29","01779791",0400000US29,"29",MO,Missouri,"00","178050802184","2489425460",18.615444948111190,24.713295873223760
"08","01779779",0400000US08,"08",CO,Colorado,"00","268422891711","1181621593",28.039250709492080,22.019199256984013
"49","01455989",0400000US49,"49",UT,Utah,"00","212886221680","6998824394",22.975116780913140,20.001215013569098
"47","01325873",0400000US47,"47",TN,Tennessee,"00","106802728188","2350123465",10.889271696431706,22.374279853830721
"56","01779807",0400000US56,"56",WY,Wyoming,"00","251458544898","1867670745",27.970714628087535,21.995535214881020
"36","01779796",0400000US36,"36",NY,New York,"00","122049149763","19246994695",14.006968575217570,30.868234359237462
"20","00481813",0400000US20,"20",KS,Kansas,"00","211755344060","1344141205",22.004327734069875,21.405538957263207
"32","01779793",0400000US32,"32",NV,Nevada,"00","284329506470","2047206072",29.939668521892600,23.818689237761262
"17","01779784",0400000US17,"17",IL,Illinois,"00","143780567633","6214824948",15.408210633687986,21.439890393954649
"50","01779802",0400000US50,"50",VT,Vermont,"00","23874175944","1030416650",2.797953512912727,9.571254370621283
"30","00767982",0400000US30,"30",MT,Montana,"00","376962738765","3869208832",45.079798609558566,36.310119619003437
"19","01779785",0400000US19,"19",IA,Iowa,"00","144661267977","1084180812",15.857238832677240,20.246504632485646
"45","01779799",0400000US45,"45",SC,South Carolina,"00","77864918488","5075218778",7.856399194623464,15.925876548659161
"33","01779794",0400000US33,"33",NH,New Hampshire,"00","23189413166","1026675248",2.683566606940758,9.527982551281863
"04","01779777",0400000US04,"04",AZ,Arizona,"00","294198551143","1027337603",28.919220031717487,23.841907647549029
"11","01702382",0400000US11,"11",DC,District of Columbia,"00","158340391","18687198",0.018373548310819,0.645734240135027
"34","01779795",0400000US34,"34",NJ,New Jersey,"00","19047825980","3544860246",2.130952484620593,8.714735490480370
"24","01714934",0400000US24,"24",MD,Maryland,"00","25151100280","6979966958",2.772298358000853,28.719418417805986
"23","01779787",0400000US23,"23",ME,Maine,"00","79887426037","11746549764",9.753205391642496,37.603475894288025
"10","01779781",0400000US10,"10",DE,Delaware,"00","5045925646","1399985648",0.541590072915142,4.285078414099425
"44","01219835",0400000US44,"44",RI,Rhode Island,"00","2677779902","1323670487",0.307763053085864,5.800036363408308
"21","01779786",0400000US21,"21",KY,Kentucky,"00","102279490672","2375337755",10.667940358168835,22.463648561408689
"39","01085497",0400000US39,"39",OH,Ohio,"00","105828882568","10268850702",11.319912725068662,17.935257757648721
"55","01779806",0400000US55,"55",WI,Wisconsin,"00","140290039723","29344951758",16.490074258057120,28.384757684590117
"41","01155107",0400000US41,"41",OR,Oregon,"00","248606993270","6192386935",28.178454318057902,25.960480154493521
"38","01779797",0400000US38,"38",ND,North Dakota,"00","178707534813","4403267548",21.839796565332563,24.845448612672488
"05","00068085",0400000US05,"05",AR,Arkansas,"00","134768872727","2962859592",13.585448531224529,21.859055511101808
"18","00448508",0400000US18,"18",IN,Indiana,"00","92789302676","1538002829",9.873748894802702,17.180574770369372
"27","00662849",0400000US27,"27",MN,Minnesota,"00","206228939448","18945217189",25.539811479943864,35.078195564758403
"09","01779780",0400000US09,"09",CT,Connecticut,"00","12542497068","1815617571",1.396678867709170,6.706572399912821
